"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"SRR1917602"	84.21	15.1	0.33
"SRR3401994"	61.47	38.5	0.03
"SRR3401962"	33.73	66.22	0.05
"SRR4029075"	90.66	9.05	0.28
"SRR1977304"	85.23	9.51	2.4
"SRR3719572"	96.16	3.67	0.03
"ERR671913"	94.23	5.47	0.02
"ERR687890"	91.97	7.98	0.04
"SRR1209976"	93.65	4.55	1.79
"SRR3402046"	95.01	4.89	0.09
"ERR671928"	93.47	6.47	0.04
"SRR3401997"	65.71	34.14	0.14
"SRR3402030"	33.73	66.23	0.04
"SRR3401959"	39.22	60.72	0.04
"SRR1977249"	91.23	1.74	0.04
"ERR671916"	93.09	6.62	0.01
"SRR3402036"	36.21	63.76	0.03
"ERR771045"	98.9	0.22	0.07
"ERR671918"	94.92	4.74	0.03
"ERR1579319"	93.54	5.92	0.03
"ERR671920"	92.15	7.5	0.02
"ERR671926"	93.39	6.54	0.06
"SRR3719510"	96.5	2.55	0.08
"SRR3402028"	35.63	64.29	0.08
"ERR671914"	95.04	4.74	0.01
"ERR1579316"	95.1	3.33	1.38
"SRR3401954"	50.98	48.94	0.07
"ERR671937"	95.64	4.08	0.02
"ERR671912"	94.07	5.63	0.02
"ERR671925"	95.57	4.2	0.01
"SRR3401989"	69.03	30.92	0.05
"ERR687897"	94.09	5.62	0.04
"SRR3719504"	98.42	1.35	0.03
"SRR2107180"	96.47	3.51	0.02
"SRR2844602"	58.72	40.69	0.2
"SRR3401986"	60.38	39.4	0.21
"ERR671917"	93.28	6.44	0.01
"SRR3402025"	43.27	56.71	0.02
"SRR4029069"	93.73	4.78	0.74
"ERR1579315"	94.39	5.2	0
"SRR2177956"	94.72	4.93	0.01
"ERR771040"	98.2	0.11	0.04
"ERR671915"	95.19	4.6	0.01
"ERR687891"	94.92	4.77	0.02
"ERR671927"	93.23	6.69	0.06
"SRR1204581"	94.9	4.78	0.25
"ERR671922"	95.52	4.44	0.03
"SRR1509796"	98.9	1.08	0.02
"SRR3719645"	97.26	2.59	0.02
"SRR2107219"	85.54	14.06	0.16
"SRR1977357"	26	19.72	0.11
"SRR1947270"	34.7	28.22	0.14
"SRR1658472"	95.71	2.86	0.01
"SRR3719506"	94.32	4.45	0.12
"ERR671936"	95.68	4.04	0.02
"ERR712370"	90.45	9.5	0.03
"ERR671921"	92.13	7.53	0.02
"SRR3719708"	95.63	3.58	0.16
"SRR3719545"	95.55	3.65	0.18
"ERR671933"	94.31	5.42	0.01
"ERR687884"	94.84	4.88	0.02
"SRR2895135"	88.19	10.64	0.8
"ERR687886"	94.2	5.53	0.01
"SRR3719564"	97.51	2.34	0.06
"ERR687895"	95.04	4.74	0.01
"SRR3719541"	97.26	2.06	0.11
"ERR1579318"	94.45	4.86	0.16
"ERR712374"	88.41	11.27	0.29
"SRR2107179"	95.84	4.06	0.09
"SRR3719535"	96.35	2.65	0.25
"ERR770581"	88.82	11.06	0.05
"SRR1977296"	10.16	88.78	1.04
"SRR3719646"	96.61	3.26	0.03
"ERR671923"	95.5	4.45	0.03
"SRR4308226"	66.27	33.67	0.04
"SRR8812611"	73.87	19.22	5.99
"SRR1658344"	93.06	6.89	0.02
"SRR1556897"	97.34	2.39	0.26
"SRR3719656"	84.12	15.57	0.24
"ERR712372"	77.4	11.24	0.02
"SRR5421608"	84.64	15.34	0.02
"SRR3712211"	62.27	37.46	0.04
"SRR3712184"	53.83	45.88	0.05
"ERR671924"	95.58	4.19	0.01
"ERR712373"	92.44	6.66	0.02
"SRR3401951"	50.27	49.64	0.08
"ERR671930"	95.37	4.4	0.02
"ERR671932"	94.36	5.37	0.01
"SRR2107128"	86.96	13.01	0.01
"SRR8812712"	78.63	18.47	2.27
"ERR712382"	71.38	11.27	0.01
"ERR712377"	86.8	12.56	0.42
"ERR687883"	94.85	4.87	0.02
"SRR4029078"	94.35	5.51	0.07
"ERR687893"	93.09	6.62	0.01
"SRR3712237"	63.27	36.54	0.05
"SRR1917664"	94.81	4.14	0.6
"SRR3401956"	40.83	59.11	0.05
"ERR687889"	92.19	7.51	0.02
"SRR2090164"	95.48	4.45	0.05
"SRR3719563"	95.26	4.05	0.16
"SRR3402044"	94.62	5.31	0.05
"SRR3401991"	61.53	38.31	0.16
"SRR3719511"	97.18	2.13	0.1
"ERR671931"	95.33	4.45	0.02
"SRR8812477"	73.29	23.91	2.36
"ERR712379"	75.7	18.63	0.01
"ERR671929"	93.61	6.13	0.02
"ERR687885"	94.22	5.51	0.01
"ERR671910"	94.1	5.6	0.04
"ERR687887"	95.25	4.52	0.02
"SRR2844616"	84.07	14.72	1.05
"ERR671934"	95.48	4.24	0.02
"SRR2107133"	87.1	12.88	0.01
"SRR1204580"	96.25	1.8	1.92
"SRR8812437"	74.68	15.56	8.6
"SRR8812538"	76.97	18	4.29
"SRR2107176"	85.2	14.77	0.02
"ERR687888"	95.23	4.53	0.02
"ERR712369"	81.59	14.19	0.02
"SRR3402048"	95.15	4.8	0.04
"ERR671935"	95.45	4.27	0.02
"SRR5422827"	29.48	70.49	0.02
"SRR6439736"	64.09	35.47	0.12
"SRR3402033"	32.29	67.68	0.03
"SRR3719573"	96.27	3.59	0.04
"SRR1658467"	90.81	8.67	0.01
"ERR671938"	94.98	4.74	0.02
"ERR712390"	90.8	9.08	0.1
"SRR2107178"	95.49	4.44	0.07
"SRR2107184"	87.64	12.21	0.03
"SRR5422860"	76.85	6.07	17.03
"SRR2107212"	90.15	9.58	0.07
"SRR2107181"	94.88	5	0.03
"SRR1976948"	88.04	1.91	0.01
"SRR2107185"	87.95	11.57	0.09
"SRR2107174"	85.23	14.76	0.01
"SRR8812503"	71.72	26.16	1.67
"SRR1977365"	53.21	5.35	0.16
"SRR3719566"	78.77	20.39	0.55
"SRR2546427"	93.2	6.74	0.03
"ERR712381"	68.13	12.12	0.01
"SRR2546428"	95.89	4.05	0.03
"SRR2177954"	98.72	1.12	0.01
"SRR5829550"	96.06	3.52	0
"SRR4308227"	63.15	35.65	0.09
"SRR3719562"	96.25	3.31	0.15
"SRR2090159"	98.72	0.73	0.03
"SRR3712193"	57.79	41.99	0.06
"ERR712378"	92.81	7.14	0.04
"SRR2090161"	91.04	8.05	0.06
"ERR712384"	76.35	23.16	0.02
"SRR2546423"	93.66	6.23	0.09
"SRR8812520"	78.53	18.29	2.69
"SRR3719534"	98.02	1.84	0.03
"SRR2177362"	98.68	1.15	0.04
"SRR3719655"	95.62	3.27	0.11
"SRR1658471"	98.06	1.05	0.01
"SRR2107175"	85.41	14.58	0
"SRR2090170"	98.95	1.01	0.03
"SRR3719478"	96.96	2.22	0.06
"SRR2844601"	46.81	52.62	0.15
"SRR8815204"	78.1	15.74	5.31
"SRR5829543"	95.8	3.35	0
"SRR3719533"	93.67	5.16	0.16
"SRR3719574"	80.09	18.87	0.31
"SRR2090150"	97.71	1.51	0.23
"SRR3719539"	81.54	18.31	0.1
"ERR687892"	94.91	4.78	0.03
"SRR1183650"	78.28	21.46	0.15
"SRR8812688"	82.66	15.8	1.16
"ERR687894"	93.1	6.61	0.01
"SRR8812489"	73.82	20.53	4.77
"ERR712389"	84.09	8.25	0.05
"SRR2090172"	97.71	2.09	0.19
"ERR712383"	76.03	23.44	0.02
"SRR3719696"	96.32	2.97	0.21
"SRR3719695"	95.5	3.74	0.14
"SRR3719505"	98.53	1.28	0.03
"SRR8812654"	76.58	21.62	1.46
"ERR671919"	94.9	4.76	0.03
"SRR2107210"	92.36	7.47	0.04
"SRR1658343"	97.55	0.84	0.02
"SRR2090162"	88.14	11.58	0.14
"ERR687896"	95.06	4.72	0.01
"SRR3719647"	96.57	3.34	0.05
"SRR1658463"	93.08	5.74	0.01
"SRR8812842"	66.12	30.89	2.29
"SRR2177986"	96.45	3.26	0.05
"SRR1168574"	88.31	11.01	0.57
"SRR2107211"	92.35	7.47	0.05
"ERR712368"	84.71	8.35	0.02
"SRR2546425"	94.89	5	0.07
